관서명,살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
중부서,1,1,5,7,132,63,1057,415,1176,1010
종로서,5,4,1,0,136,114,744,398,1131,993
남대문서,1,1,6,4,75,52,798,417,779,709
서대문서,5,4,3,3,206,189,1062,585,1526,1235
혜화서,1,1,2,2,100,58,739,340,831,712
용산서,1,1,3,2,331,285,1096,522,1980,1733
성북서,1,1,0,0,125,90,600,298,886,798
동대문서,2,2,5,4,145,112,1447,930,2081,1920
마포서,6,6,6,7,473,396,2011,882,2676,2278
영등포서,17,15,8,6,391,267,2292,1064,3132,2570
성동서,2,2,5,8,126,102,999,487,1325,1188
동작서,3,3,7,7,288,154,1151,532,1651,1394
광진서,7,5,2,1,229,184,1769,974,1908,1625
서부서,4,4,0,0,58,52,505,325,807,711
강북서,8,6,7,7,188,135,1112,603,2122,1922
금천서,6,6,7,6,200,185,1168,645,1912,1725
중랑서,4,5,3,3,174,145,"1,526",876,"2,581","2,193"
강남서,5,8,9,8,406,352,"2,020",836,"2,188","1,890"
관악서,9,9,10,12,352,305,"2,012",1025,"2,643","2,302"
강서서,11,9,6,3,269,246,"1,724",982,"2,619","2,229"
강동서,3,3,7,7,170,143,"1,515",765,"2,224","1,871"
종암서,6,5,1,2,58,50,564,337,801,696
구로서,8,8,9,9,250,181,"1,717",787,"2,826","2,353"
서초서,5,5,4,4,407,274,"1,482",673,"1,908","1,597"
양천서,2,3,4,14,120,111,"1,384",646,"2,005","1,685"
송파서,5,6,6,8,309,254,"2,352","1,034","3,135","2,749"
노원서,5,4,5,5,194,173,"1,422",585,"2,381","1,958"
방배서,0,0,1,1,63,41,369,165,487,423
은평서,4,4,1,1,130,117,773,491,"1,308","1,158"
도봉서,1,1,5,3,113,117,781,431,"1,349","1,124"
수서서,5,5,5,2,194,171,984,481,"1,697","1,443"
